English,Deutsch
abolish,abschaffen
abortion,Abtreibung
absence,Abwesenheit
absent,abwesend
absorb,absorbieren
abstract,Abstrakt
absurd,absurd
abundance,Fülle
abuse,Missbrauch
academy,Akademie
accelerate,beschleunigen
accent,Akzent
acceptance,Annahme
accessible,zugänglich
accidentally,versehentlich
accommodate,unterbringen
accomplish,erreichen
accomplishment,Leistung
accordance,Übereinstimmung
accordingly,entsprechend
accountability,Rechenschaftspflicht
accountable,verantwortlich
accountant,Buchhalter
accounting,Buchhaltung
accumulate,akkumulieren
accumulation,Akkumulation
accuracy,Genauigkeit
accurately,genau
accusation,Anklage
accused,beschuldigt
acid,Säure
acquisition,Erwerb
acre,Acre
activate,aktivieren
activation,Aktivierung
activist,Aktivist
acute,akut
adaptation,Anpassung
addiction,Sucht
additionally,zusätzlich
adequate,angemessen
adequately,angemessen
adhere,haften
adjacent,benachbart
adjust,anpassen
adjustment,Einstellung
administer,verwalten
administrative,administrative
administrator,Administrator
admission,Zulassung
adolescent,Jugendliche
adoption,Annahme
adverse,nachteilig
advocate,Fürsprecher
aesthetic,ästhetisch
affection,Zuneigung
affordable,erschwinglich
aftermath,Nachwirkungen
aggression,Aggression
agricultural,Landwirtschaft
agriculture,Landwirtschaft
aide,Berater
aids,AIDS
albeit,wenn auch
alert,Alarm
alien,Ausländer
align,ausrichten
alignment,Ausrichtung
alike,gleich
allegation,Behauptung
allege,behaupten
allegedly,angeblich
alliance,Allianz
allocate,zuweisen
allocation,Zuweisung
allowance,Zuschuss
ally,Verbündete
alongside,neben
altogether,insgesamt
aluminium,Aluminium
amateur,Amateur
ambassador,Botschafter
ambulance,Krankenwagen
amend,ändern
amendment,Änderung
amid,inmitten
amusing,amüsant
analogy,Analogie
analyst,Analytiker
ancestor,Vorfahr
anchor,Anker
angel,Engel
animation,Animation
annually,jährlich
anonymous,anonym
anticipate,antizipieren
anxiety,Angst
apology,Entschuldigung
apparatus,Gerät
appealing,ansprechend
appetite,Appetit
applaud,applaudieren
applicable,anwendbar
applicant,Antragsteller
appoint,ernennen
appreciation,Anerkennung
appropriately,angemessen
arbitrary,willkürlich
architectural,Architektur
archive,Archiv
arena,Arena
arguably,wohl
arm,Arm
array,Array
arrow,Pfeil
articulate,artikulieren
artwork,Kunstwerk
ash,Asche
aside,beiseite
aspiration,Aspiration
aspire,streben
assassination,Ermordung
assault,Angriff
assemble,montieren
assembly,Montage
assert,behaupten
assertion,Behauptung
asset,Vermögenswert
assign,zuordnen
assistance,Hilfe
assumption,Annahme
assurance,Sicherheit
assure,versichern
astonishing,erstaunlich
asylum,Asyl
atrocity,Gräueltat
attachment,Anhang
attain,erreichen
attendance,Teilnahme
attorney,Rechtsanwalt
attribute,Attribut
auction,Auktion
audio,Audio-
audit,Prüfung
authentic,authentisch
authorize,autorisieren
auto,Auto
automatic,automatisch
automatically,automatisch
autonomy,Autonomie
availability,Verfügbarkeit
await,erwarten
awareness,Bewusstsein
awkward,unangenehm
backdrop,Hintergrund
backing,Unterstützung
backup,Backup
badge,Abzeichen
bail,Kaution
balanced,ausgewogen
ballet,Ballett
balloon,Ballon
ballot,Abstimmung
banner,Banner
bare,nackt
barely,kaum
bargain,Schnäppchen
barrel,Fass
basement,Keller
basket,Korb
bass,Bass
bat,Schläger
battlefield,Schlachtfeld
bay,Bucht
beam,Strahl
beast,Tier
behalf,im Namen
beloved,geliebten
bench,Bank
benchmark,Benchmark
beneath,darunter
beneficial,vorteilhaft
beneficiary,Begünstigter
beside,neben
besides,außerdem
betray,verraten
bias,Voreingenommenheit
bid,Gebot
bind,binden
biography,Biographie
biological,biologisch
bishop,Bischof
bizarre,bizarr
blade,Klinge
blanket,Decke
blast,Explosion
bleed,bluten
blend,Mischung
bless,segnen
blessing,Segen
blow,Schlag
boast,Prahlerei
bold,deutlich
bombing,Bombardierung
bonus,Bonus
booking,Buchung
boom,Boom
boost,Schub
bounce,prallen
bound,gebunden
boundary,Grenze
bow,Bogen
breach,Verstoß
breakdown,abbauen
breakthrough,Durchbruch
breed,züchten
brick,Ziegel
briefly,knapp
broadband,Breitband
broadcaster,Sender
broadly,breit
browser,Browser
brutal,brutal
buck,Bock
buddy,Kumpel
buffer,Puffer
bug,Insekt
bulk,Schüttgut
burden,Last
bureaucracy,Bürokratie
burial,Beerdigung
burst,platzen
cabin,Kabine
cabinet,Kabinett
calculation,Berechnung
canal,Kanal
candle,Kerze
canvas,Leinwand
capability,Fähigkeit
capitalism,Kapitalismus
capitalist,Kapitalist
carbon,Kohlenstoff
cargo,Ladung
carriage,Wagen
carve,schnitzen
casino,Kasino
casual,lässig
casualty,Opfer
catalogue,Katalog
cater,Catering
cattle,Vieh
caution,Vorsicht
cautious,zurückhaltend
cave,Höhle
cease,aufhören
cemetery,Friedhof
certainty,Sicherheit
certificate,Zertifikat
challenging,herausfordernd
chamber,Kammer
championship,Meisterschaft
chaos,Chaos
characterize,charakterisieren
charm,Charme
charming,charmant
charter,Charta
chase,Verfolgungsjagd
cheek,Wange
cheer,jubeln
choir,Chor
chop,hacken
chronic,chronisch
chunk,Stück
circuit,Schaltung
circulate,zirkulieren
circulation,Verkehr
citizenship,Staatsbürgerschaft
civic,bürgerlich
civilian,Zivilist
civilization,Zivilisation
clarify,klären
clarity,Klarheit
clash,Zusammenstoß
classification,Einstufung
classify,klassifizieren
cleaning,Reinigung
clerk,Sachbearbeiter
cliff,Cliff
cling,haften
clinic,Klinik
clinical,klinisch
clip,Clip
closure,Schließung
cluster,Cluster
coalition,Koalition
coastal,Küste
cocktail,Cocktail
cognitive,kognitive
coincide,übereinstimmen
coincidence,Zufall
collaborate,zusammenarbeiten
collaboration,Zusammenarbeit
collective,Kollektiv
collector,Kollektor
collision,Kollision
colonial,Kolonialzeit
colony,Kolonie
colourful,bunt
columnist,Kolumnist
combat,Kampf
comic,komisch
commander,Kommandant
commence,beginnen
commentary,Kommentar
commentator,Kommentator
commerce,Handel
commissioner,Kommissar
commodity,Ware
communist,Kommunist
companion,Begleiter
comparable,vergleichbar
comparative,vergleichend
compassion,Mitgefühl
compel,zwingen
compelling,zwingend
compensate,kompensieren
compensation,Entschädigung
competence,Kompetenz
competent,kompetent
compile,kompilieren
complement,ergänzen
completion,Fertigstellung
